Year,Pop_male,Pop_female,Household,0_4_m,5_9_m,10_14_m,15_19_m,20_24_m,25_29_m,30_34_m,35_39_m,40_44_m,45_49_m,50_54_m,55_59_m,60_64_m,65_69_m,70_74_m,75_79_m,80_84_m,85_89_m,90_94_m,95_99_m,0_4_f,5_9_f,10_14_f,15_19_f,20_24_f,25_29_f,30_34_f,35_39_f,40_44_f,45_49_f,50_54_f,55_59_f,60_64_f,65_69_f,70_74_f,75_79_f,80_84_f,85_89_f,90_94_f,95_99_f
2023,99992,105973,102078,3537,4314,4431,4495,5265,5150,5184,6023,6856,7817,8406,7919,6400,5195,5246,4366,3176,2152,955,196,3388,4169,4209,4344,5317,5406,5370,5956,6660,7647,8418,7551,6437,5170,5986,5541,5037,3830,2123,678
2022,99954,105998,101138,3646,4366,4432,4472,5336,5166,5317,6214,7013,8068,8377,7666,6186,5117,5523,4087,3118,2273,903,183,3632,4085,4306,4323,5337,5372,5465,6113,6781,7954,8309,7368,6090,5199,6362,5346,4906,3789,2071,615
2021,99915,105907,100409,3795,4361,4414,4471,5466,5195,5484,6313,7190,8290,8414,7280,5944,5119,5784,3795,3079,2222,839,163,3681,4147,4303,4305,5357,5383,5573,6268,6880,8113,8299,6983,5885,5344,6647,5164,4788,3809,1944,550
2020,100233,105770,100168,3910,4332,4384,4514,5564,5219,5612,6448,7321,8427,8029,7311,5747,5217,5596,3970,3010,2141,785,150,3885,4090,4182,4353,5477,5420,5592,6354,6973,8285,7791,6949,5834,5398,6426,5470,4705,3690,1815,515
2019,99740,105184,99159,3985,4332,4240,4578,5477,5173,5640,6449,7527,8372,8130,6902,5568,5350,5284,4014,3057,2060,746,132,3929,4086,4083,4356,5500,5408,5526,6326,7167,8238,7756,6784,5536,5639,6073,5663,4766,3436,1716,491
2018,98653,103789,97180,3975,4295,4206,4630,5457,5087,5722,6446,7656,8345,7989,6583,5444,5680,4981,3916,3113,1908,706,118,3873,4118,4039,4352,5498,5239,5520,6301,7344,8223,7550,6480,5361,6075,5798,5554,4731,3335,1591,444
2017,98159,102821,95853,4014,4313,4171,4640,5391,5209,5820,6581,7830,8313,7714,6353,5351,6018,4654,3853,3173,1809,656,104,3790,4127,4001,4427,5365,5222,5583,6411,7606,8079,7335,6167,5342,6488,5575,5403,4662,3196,1455,434
2016,97579,102238,94727,4016,4271,4143,4675,5321,5269,5898,6782,8097,8334,7312,6093,5364,6325,4371,3806,3128,1687,615,91,3821,4119,4001,4412,5332,5292,5760,6524,7805,8038,6886,5929,5464,6776,5408,5274,4649,2977,1356,432
2015,97279,101729,93559,4052,4258,4194,4723,5305,5413,5984,7005,8254,7965,7365,5888,5477,6141,4537,3734,3057,1522,564,88,3847,3999,4098,4455,5232,5358,5896,6674,8046,7578,6890,5880,5475,6586,5754,5158,4486,2842,1228,394
2014,97048,101294,92633,4169,4112,4291,4677,5369,5452,6165,7250,8373,8032,7008,5691,5665,5813,4595,3805,2989,1532,423,86,3959,3925,4108,4434,5200,5333,5982,6999,8028,7594,6716,5572,5738,6273,5956,5273,4257,2641,1201,337
2013,96836,100760,91717,4171,4102,4357,4716,5238,5781,6288,7602,8373,7869,6683,5584,6048,5478,4484,3879,2809,1463,370,69,3981,3941,4069,4497,5079,5545,6146,7181,8071,7384,6484,5434,6209,5955,5862,5239,4086,2452,1112,312
2012,97092,100953,91379,4309,4085,4352,4657,5262,6059,6640,7962,8366,7673,6438,5543,6453,5078,4431,3982,2669,1331,317,79,4163,3948,4150,4413,5125,5812,6416,7486,7976,7260,6191,5394,6630,5793,5705,5190,3964,2258,1060,305
2011,95530,99159,89503,4282,4093,4381,4569,5368,6246,7061,8138,8342,7314,6191,5587,6742,4796,4359,3900,2564,1200,309,76,4185,3959,4133,4413,5219,6123,6530,7767,8014,6807,6000,5566,6954,5629,5600,5119,3686,2110,1002,288
2010,95087,98353,88924,4200,4116,4401,4448,5673,6463,7144,8261,7965,7377,5950,5666,6541,4970,4248,3823,2468,1005,280,82,3968,3985,4117,4332,5385,6248,6633,7917,7551,6794,5908,5593,6773,5988,5471,4995,3509,1952,931,247
2009,94272,97110,87655,4029,4193,4355,4427,5820,6616,7128,8306,7975,6964,5773,5859,6155,5054,4336,3706,2333,877,288,72,3816,4000,4124,4262,5527,6143,6634,7878,7460,6590,5629,5853,6427,6145,5595,4726,3313,1877,818,231
2008,93843,96480,86695,4031,4267,4311,4350,6127,6684,7383,8286,7816,6637,5634,6277,5844,4915,4376,3523,2232,802,285,58,3851,3970,4187,4190,5742,6173,6905,7881,7207,6301,5451,6350,6096,6089,5568,4584,3106,1748,783,246
2007,93779,96094,85861,4139,4250,4253,4403,6234,6789,7816,8322,7608,6376,5631,6705,5421,4811,4496,3391,2060,733,282,56,3878,4037,4131,4189,5819,6321,7267,7866,7067,6033,5395,6794,5907,5899,5498,4445,2892,1632,742,234
2006,93607,95681,85142,4175,4274,4160,4475,6287,7089,8147,8317,7332,6151,5698,7001,5133,4748,4425,3322,1847,715,262,46,3957,4047,4144,4244,5853,6381,7650,7836,6631,5792,5585,7135,5740,5807,5458,4141,2740,1538,732,229
2005,92617,94380,83681,4100,4229,4039,4509,6396,7213,8274,7827,7348,5949,5777,6813,5323,4647,4363,3224,1612,674,256,42,3933,4020,4020,4293,5894,6460,7692,7240,6602,5736,5585,6949,6094,5695,5320,3949,2514,1469,681,200
2004,91781,93248,82411,4096,4126,3983,4558,6483,7408,8279,7869,6936,5739,5973,6390,5424,4749,4239,3098,1451,688,243,46,3897,4006,3952,4403,5862,6533,7629,7192,6377,5457,5808,6579,6298,5845,5054,3754,2420,1347,618,189
2003,90922,92053,81091,4063,4104,3895,4791,6514,7521,8266,7732,6568,5605,6365,6098,5296,4830,4071,2965,1316,657,219,43,3849,4000,3809,4505,5763,6636,7622,6965,6133,5301,6310,6249,6283,5781,4902,3569,2289,1285,621,159
